,plsnt,attnt,snst,aptit,polarity_intense
🎠,0.0,0.0,0.0,0.071,0.024
🌴,0.721,-0.325,0.0,0.2515,0.433
😏,0.719,-0.58,0.0,0.739,0.679
🛅,0.455,-0.31,0.0135,0.319,0.357
💶,0.7905,0.8045,0.0,0.0,0.532
⚽,0.8875,0.8160000000000001,0.0,0.0,0.568
🏫,0.0,0.712,0.0,0.767,0.493
😃,0.378,-0.245,0.0245,0.481,0.36
⛺,0.783,0.0,0.0,0.0,0.261
🚥,-0.28733333333333333,0.035666666666666666,0.303,-0.28300000000000003,-0.279
💵,0.405,0.47750000000000004,0.0095,0.029,0.301
🍺,0.578,-0.366,-0.045,0.1,0.333
💀,0.0,0.075,0.0,0.046,0.04
🌅,0.0,0.071,0.0,0.0,0.024
🐜,0.0,-0.07,0.116,-0.12,-0.055
♣️,0.202,-0.04,0.0,0.0,0.081
🔔,0.034,0.0,0.01,0.087,0.037
🙆🏿,0.2855,0.4265,-0.21725,-0.015,0.16
💉,-0.02,0.0,-0.12,-0.19,-0.11
🍕,0.132,0.1,0.063,0.159,0.109
🍌,0.0,0.066,-0.05,0.089,0.035
🥔,0.529,-0.68,0.0,0.983,0.731
🐸,0.3595,-0.29,0.0365,0.3695,0.327
👃🏻,0.27075,0.26,-0.01475,0.020749999999999998,0.179
🍮,0.862,-0.78,0.0,0.0,0.547
💞,0.74,0.867,0.0,0.0,0.536
👵🏽,0.1744,0.30999999999999994,-0.20380000000000004,0.0842,0.122
🚦,-0.04966666666666666,0.332,0.303,-0.31,-0.11
🚣,0.41550000000000004,0.538,-0.04,0.053,0.322
💕,0.0,0.0,0.063,-0.03,-0.031
🐾,-0.03,0.121,0.0,0.096,0.062
👎,-0.74,0.241,-0.42,0.0,-0.306
🐀,-0.13,0.0,0.013,-0.08,-0.074
😻,0.3735,-0.29,0.0065,0.4,0.352
🛣,0.559,-0.98,0.0,0.501,0.68
🎈,0.069,-0.27,0.0,-0.03,0.103
🐅,0.0,-0.97,0.0,0.0,0.323
🦃,0.0,0.0,-0.98,-0.86,-0.613
🐌,-0.05,-0.04,0.037,-0.08,-0.042
🏋,0.921,0.884,0.0,0.0,0.602
🌎,-0.8,0.0,-0.82,0.0,-0.54
😂,0.7593333333333333,0.133,0.0,0.24633333333333332,0.38
🌡,0.808,0.714,0.0,0.0,0.507
🔏,0.0,0.096,0.0,0.075,0.057
😙,0.719,-0.58,0.0,0.739,0.679
👅,0.039,0.0,0.0,0.058,0.032
🕸,0.0305,0.034,0.0485,0.0355,0.017
👨‍👩‍👦‍👦,0.35639999999999994,-0.0652,-0.082,0.3198,0.22
🌒,0.503,-0.47,0.0,0.047,0.34
🍹,-0.39899999999999997,-0.01,-0.42000000000000004,-0.04,-0.283
😛,0.379,-0.29,0.0,0.3985,0.356
🏍,-0.06,0.122,-0.04,0.113,0.045
💒,0.768,0.97,0.0,0.773,0.837
👯,0.046,0.057,-0.025,0.028999999999999998,0.036
😒,0.719,-0.58,0.0,0.739,0.679
🔌,0.8015,0.7855,0.0,0.0,0.529
🌑,0.48150000000000004,-0.38449999999999995,-0.05,0.106,0.307
🚤,0.024,0.152,-0.06,0.236,0.117
🏓,-0.89,0.0,0.897,-0.67,-0.819
🍔,0.062,0.0,0.027,0.055,0.03
🙋🏿,0.4805,0.057666666666666665,-0.14483333333333334,0.20133333333333334,0.198
😀,0.719,-0.58,0.0,0.739,0.679
🚏,-0.525,0.061,0.4265,-0.2935,-0.395
🍋,-0.62,0.0,0.512,-0.8,-0.644
☘,0.0,0.0,0.032,-0.05,-0.027
🍀,0.37,-0.37649999999999995,0.0,0.025,0.257
✌️,0.82,0.792,0.0,0.757,0.79
🍠,0.3205,-0.34,0.0,0.5619999999999999,0.408
🌗,0.5943333333333333,0.050000000000000044,-0.02,0.04833333333333333,0.224
🏬,0.35350000000000004,0.335,0.0,0.454,0.381
🚉,0.034,0.082,0.0,0.0,0.039
🎅🏽,0.32666666666666666,0.30166666666666664,0.007,0.042,0.221
🍗,-0.4315,0.042,-0.435,0.0,-0.275
🖖🏽,0.427,0.42325,0.00525,0.0315,0.292
⛽,-0.35,0.0,-0.445,0.441,-0.118
💴,-0.08999999999999997,0.3815,-0.375,0.0,-0.028
👐🏾,0.3003333333333333,0.314,-0.006333333333333333,0.02266666666666667,0.21
🐭,0.08449999999999996,-0.29,0.4775,-0.11049999999999999,-0.071
🈲,0.743,0.929,0.0,0.0,0.557
⛄,0.020999999999999963,0.4895,-0.4,-0.48,-0.123
🌄,-0.015,0.08449999999999999,-0.03,0.0385,0.026
🎰,0.0345,0.10900000000000001,-0.03,0.054,0.056
🖖🏼,0.5563333333333333,0.5366666666666666,0.007,-0.02,0.355
🐤,0.021,0.044,0.0,0.4695,0.178
